Build.Model,Model,Manufacturer,Comment
Galaxy Nexus,Galaxy Nexus,Samsung,
SCH-I535,Galaxy S III,Samsung,Verizon Galaxy S III
DROID RAZR,Droid Razr,Motorola,Motorola Droid RAZR
SAMSUNG-SGH-I747,Galaxy S III,Samsung,Samsung Galaxy S III AT&T
SGH-T999,Galaxy S III,Samsung,Samsung Galaxy S III T-Mobile
SPH-L710,Galaxy S III,Samsung,Samsung Galaxy S III Sprint
PC36100,Evo 4g,HTC,HTC EVO 4G LTE
DROID BIONIC,Droid Bionic,Motorola,Motorola Droid Bionic
ADR6400L,Thunderbolt,HTC,HTC Thunderbolt 4g
SGH-T989,Galaxy S II,Samsung,Samsung Galaxy S II  T-Mobile.
SPH-D710,Galaxy S II,Samsung,Samsung Galaxy S II 
ADR6300,Droid Incredible,HTC,HTC Droid Incredible
GT-I9300,Galaxy S II,Samsung,Samsung Galaxy S II
DROIDX,Droid X,Motorola,Motorola Droid X
ADR6350,Droid Incredible 2,HTC,Verizon HTC Droid Incredible 2
HTC One X,One X,HTC,HTC One X
DROID RAZR HD,Razr,Motorola,
XT910,Razr,Motorola,
Nexus 4,Nexus 4,LG,
DROID4,Droid 4,Motorola,Motorola Droid 4
Nexus S,Nexus S,Samsung,
HTC VLE_U,One S,HTC,HTC One S
EVO,Evo 3d,HTC,
SAMSUNG-SGH-I727,Galaxy S II,Samsung,Samsung Galaxy II AT&T
SCH-I510,Droid Change,Samsung,Samsung Droid Change
Nexus 7,Nexus 7,Asus,
XT907,Droid Razr M,Motorola,Motorola Droid Razr M XT907
PG86100,Evo 3d,HTC,HTC EVO 3d
HTC Sensation 4G,Sensation 4g,HTC,
Nexus S 4G,Nexus S 4g,Samsung,
SPH-D720,Nexus S 4g,Samsung,Spring Nexus S 4g
HTC Glacier,Glacier,HTC,
SCH-I500,Galaxy S,Samsung,Samsung Galaxy S
GT-I9100,Galaxy S II,Samsung,Samsung Galaxy S2
LG-P999,G2X,LG,T-Mobile G2x 
ADR6425LVW,Rezound 4g,HTC,HTC - Rezound 4G
SPH-D700,Epic 4g,Samsung,Samsung Epic 4G
SAMSUNG-SGH-I317,Galaxy Note II,Samsung,Samsung Galaxy Note 2
SAMSUNG-SGH-I777,Galaxy S II,Samsung,Samsung Galaxy II AT&T
SGH-T959V,Galaxy S 4g,Samsung,Galaxy S 4G 
SCH-I405,Stratosphere,Samsung,Samsung Stratosphere
SCH-I415,Stratosphere II,Samsung,Samsung Stratosphere
DROID2 GLOBAL,Droid 2,Motorola,Motorola Droid 2 Global
T-Mobile G2,G2,HTC,HTC T-Mobile G2
DROID Pro,Droid Pro,Motorola,Motorola DROID Pro
SAMSUNG-SGH-I717,Galaxy Note,Samsung,Samsung Galaxy Note
SGH-I747M,Galaxy S III,Samsung,Samsung Galaxy S III
DROID3,Droid 3,Motorola,Motorola DROID3
MB860,Atrix 4g,Motorola,Motorola Atrix 4G
ADR6410LVW,Droid Incredible 4g,HTC,HTC Droid Incredible 4G 
Nexus One,Nexus One,HTC,HTC Nexus One
SGH-T769,Galaxy Blaze 4g,Samsung,Samsung Galaxy S® Blaze™ 4G
DROID X2,Droid X2,Motorola,Motorola Droid X2
SAMSUNG-SGH-I997,Galaxy Note II,Samsung,Galaxy Note 2
GT-I9100,Galaxy S II,Samsung,
GT-I9001,Galaxy S Plus,Samsung,
GT-I9000,Galaxy S,Samsung,Samsung Galaxy S
GT-I8150,Galaxy W,Samsung,Samsung Galaxy W
D700,Epic,Samsung,Samsung Epic
GT-S5660,Galaxy Gio,Samsung,Samsung Galaxy Gio
GT-5830L,Galaxy Ace,Samsung,Samsung Galaxy Ace
S5360,Galaxy Y,Samsung,Samsung Galaxy Y
GT-S5570,Galaxy Mini,Samsung,Samsung Galaxy Mini
I200,Galaxy Stellar 4g,Samsung,Samsung Galaxy Stellar
XT894,Droid 4,Motorola ,Motorola Droid 4 LTE
LG-P500,Optimus One,LG,Optimus One P500
